Año,Mes,media,minima,maxima,precipitacion,wspd,presion
2021,November,21.38,13.27666667,27.36666667,5.06,18.69333333,1013.2
2021,October,19.71290323,11.08064516,27.20322581,2.761290323,18.47096774,1014.8
2021,September,15.65333333,9.016666667,21.65333333,1.813333333,20.97,1016.2
2022,April,17.92666667,9.486666667,25.26333333,0.266666667,17.37333333,1014.3
2022,August,12.30322581,5.551612903,20.71935484,0.570967742,17.59677419,1018.9
2022,December,25.13870968,17.71935484,33.73225806,1.203225806,19.02580645,1010.2
2022,February,22.5,15.0,28.89642857,3.510714286,15.38571429,1012.5
2022,January,25.97096774,18.14193548,32.78064516,4.1,17.18064516,1009.1
2022,July,11.68709677,3.616129032,18.73548387,0.106451613,16.18064516,1015.1
2022,June,10.42,2.216666667,17.69666667,0.0,13.93,1019.4
2022,March,20.57096774,12.84516129,27.22903226,2.770967742,16.97741935,1013.8
2022,May,13.01290323,5.026666667,20.02758621,0.493103448,13.58333333,1020.0
2022,November,23.01333333,15.55,31.00333333,3.8,27.95666667,1013.6
2022,October,17.2483871,10.10645161,25.65483871,1.877419355,22.74193548,1015.7
2022,September,15.56333333,6.296666667,22.44666667,0.67,17.81666667,1018.7
2023,April,17.49666667,11.95333333,23.90333333,0.776666667,14.94666667,1014.8
2023,August,12.20967742,6.035483871,19.85806452,0.119354839,15.96129032,1015.5
2023,December,21.68064516,16.39677419,28.59677419,3.932258065,20.20645161,1011.1
2023,February,22.46785714,16.15714286,29.61071429,2.885714286,15.36428571,1011.5
2023,January,24.68387097,18.23870968,32.20322581,4.861290323,15.14516129,1010.5
2023,July,10.5,5.132258065,16.77741935,0.932258065,14.81612903,1018.1
2023,June,10.65333333,5.133333333,17.38666667,0.266666667,13.46666667,1019.1
2023,March,22.85806452,17.39677419,29.60322581,6.138709677,14.81935484,1011.7
2023,May,14.93548387,9.470967742,21.75806452,0.522580645,12.75806452,1017.0
2023,November,20.39333333,13.98,28.10666667,9.066666667,20.75333333,1010.1
2023,October,17.38387097,10.99032258,25.05483871,1.190322581,19.66774194,1012.9
2023,September,13.96666667,7.956666667,21.68333333,0.556666667,16.88,1014.8
2024,April,16.15,11.19333333,21.65333333,2.183333333,15.44333333,1013.7
2024,August,9.951612903,3.54516129,16.23225806,0.355555556,15.75806452,1019.6
2024,December,21.75483871,14.94516129,28.11612903,1.826923077,18.92903226,1011.6
2024,February,22.88965517,17.98965517,29.08275862,5.796551724,15.65517241,1012.7
2024,January,23.33548387,17.46774194,29.41612903,5.422580645,19.2,1012.2
2024,July,8.019354839,2.174193548,14.83225806,0.048387097,13.7516129,1023.7
2024,June,11.27,5.653333333,17.31,0.3,11.75,1015.1
2024,March,21.88387097,17.23870968,27.69677419,4.032258065,15.42580645,1011.5
2024,May,9.332258065,4.174193548,15.1483871,0.361290323,12.97741935,1019.4
2024,November,21.10666667,14.7,27.10666667,2.586666667,19.65666667,1011.6
2024,October,19.18064516,13.37419355,25.16774194,5.138709677,20.69354839,1013.8
2024,September,17.25,8.723333333,25.33333333,0.120689655,19.43333333,1013.5
2025,February,24.74285714,19.23571429,30.34285714,12.44642857,18.68928571,1008.8
2025,January,24.8,18.32580645,30.81935484,2.290322581,16.17096774,1010.7
2025,March,20.1,15.52068966,24.75,5.975,17.05,1014.2
